popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
79.0,0.5379999999999999,0.752,10.0,-5.106,1.0,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,205107.0,4.0
82.0,0.745,0.728,0.0,-3.39,1.0,0.0423,0.35200000000000004,0.0,0.228,0.39,120.099,130876.0,4.0
93.0,0.6940000000000001,0.758,11.0,-2.986,1.0,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195.0,4.0
85.0,0.614,0.647,0.0,-4.681,0.0,0.0524,0.0687,0.0,0.104,0.368,163.862,184665.0,4.0
80.0,0.764,0.528,5.0,-4.082,0.0,0.0588,0.468,0.0,0.0811,0.422,123.936,189253.0,5.0
82.0,0.88,0.67,2.0,-5.188,1.0,0.0429,0.299,5.08e-06,0.0677,0.142,100.995,299227.0,4.0
90.0,0.639,0.7909999999999999,10.0,-4.4430000000000005,0.0,0.253,0.0275,0.0,0.362,0.939,92.603,222347.0,4.0
86.0,0.7909999999999999,0.565,5.0,-3.933,0.0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347.0,4.0
88.0,0.59,0.642,7.0,-3.87,1.0,0.122,0.0771,0.0,0.105,0.6509999999999999,107.356,174444.0,4.0
78.0,0.722,0.716,8.0,-5.257999999999999,0.0,0.377,0.00818,0.0,0.892,0.799,128.0,181238.0,4.0
80.0,0.732,0.856,11.0,-2.2,0.0,0.0929,0.0828,0.0,0.32299999999999995,0.7709999999999999,145.034,177670.0,4.0
79.0,0.71,0.49,1.0,-9.832,1.0,0.246,0.128,0.0,0.0942,0.621,74.351,195587.0,4.0
81.0,0.6659999999999999,0.603,1.0,-5.671,1.0,0.0763,0.4970000000000001,0.0,0.112,0.262,102.94,141413.0,4.0
79.0,0.961,0.438,7.0,-7.877000000000002,1.0,0.31,0.0431,0.0,0.139,0.412,124.018,251080.0,4.0
87.0,0.614,0.684,0.0,-5.79,1.0,0.157,0.247,0.0,0.0976,0.258,156.85,245700.0,4.0
77.0,0.638,0.539,10.0,-5.853,1.0,0.0504,0.22,0.0,0.241,0.247,83.381,143713.0,4.0
79.0,0.72,0.644,8.0,-8.099,0.0,0.341,0.0388,0.0,0.194,0.611,77.673,178720.0,4.0
92.0,0.78,0.759,1.0,-3.292,1.0,0.225,0.462,0.000868,0.14300000000000002,0.579,91.952,201040.0,4.0
81.0,0.919,0.622,1.0,-7.383999999999999,1.0,0.0997,0.228,4.24e-06,0.122,0.424,140.02200000000002,205803.0,4.0
87.0,0.645,0.862,11.0,-4.757,0.0,0.0965,0.0923,0.0,0.192,0.7979999999999999,119.991,229773.0,4.0
84.0,0.51,0.835,3.0,-4.673,1.0,0.0447,0.007909999999999999,0.0,0.219,0.435,140.024,226747.0,4.0
82.0,0.628,0.7440000000000001,7.0,-4.718,1.0,0.0379,0.0257,0.0,0.313,0.277,119.921,169397.0,4.0
78.0,0.745,0.7040000000000001,0.0,-6.9620000000000015,1.0,0.233,0.246,0.0,0.314,0.56,98.042,195918.0,4.0
78.0,0.619,0.695,10.0,-4.005,0.0,0.206,0.336,0.0,0.0859,0.361,82.155,163931.0,4.0
80.0,0.63,0.63,9.0,-6.211,1.0,0.0395,0.0131,0.0,0.142,0.163,80.512,131213.0,4.0
